year,GEOID,tot_units,tot_vac_units,pct_vac,tot_occ_units,renter_occ_units,pct_rent,tot_pop_rou,med_hh_inc_rou,med_hh_inc_rou_2020_adj,med_yr_blt_rou,med_yr_moved_in_rou,med_gross_rent,med_gross_rent_2020_adj,med_rent_burden,tot_college_degree_rou,pct_college_deg_rou,tot_wh_rou,pct_wh_rou,tot_bl_rou,pct_bl_rou,tot_asn_rou,pct_asn_rou,tot_ltx_rou,pct_ltx_rou,tot_hh,tot_hh_pov,pct_pov
2015,11360,9220,653,0.08,8567,2701,0.32,6315,68731,75051,1972,2008,1880,2053,29.6,1537,0.57,1781,0.66,40,0.01,532,0.2,329,0.12,8567,655,0.08
2016,11360,9294,949,0.11,8345,2762,0.33,6722,69796,75264,1972,2009,1949,2102,27.5,1631,0.59,1548,0.56,73,0.03,651,0.24,490,0.18,8345,643,0.08
2017,11360,9372,990,0.12,8382,2457,0.29,5807,84911,89654,1972,2010,2007,2119,27.3,1544,0.63,1445,0.59,11,0,657,0.27,344,0.14,8382,750,0.09
2018,11360,9501,918,0.11,8583,2444,0.28,5581,87969,90668,1973,2011,2047,2110,27.1,1598,0.65,1352,0.55,25,0.01,692,0.28,375,0.15,8583,782,0.09
2019,11360,9444,903,0.11,8541,2336,0.27,4975,72254,73145,1972,2012,2064,2089,28.1,1533,0.66,1206,0.52,29,0.01,708,0.3,393,0.17,8541,750,0.09
2020,11360,9423,1130,0.14,8293,2206,0.27,4921,75735,75735,1971,2013,2102,2102,28,1458,0.66,1067,0.48,35,0.02,631,0.29,473,0.21,8293,549,0.07
2012,11361,11319,772,0.07,10547,4341,0.41,10899,60290,67962,1956,2004,1524,1718,30.6,1892,0.44,2323,0.54,84,0.02,1247,0.29,663,0.15,10547,822,0.08
2013,11361,11418,645,0.06,10773,4666,0.43,12143,59973,66629,1957,2005,1616,1795,31,2095,0.45,2366,0.51,81,0.02,1471,0.32,711,0.15,10773,927,0.09
2014,11361,11329,638,0.06,10691,4483,0.42,11915,60684,66343,1959,2006,1654,1808,31,1962,0.44,2312,0.52,58,0.01,1417,0.32,672,0.15,10691,851,0.08
2015,11361,11300,694,0.07,10606,4481,0.42,11790,63750,69612,1959,2008,1659,1812,28.7,2131,0.48,2324,0.52,66,0.01,1486,0.33,611,0.14,10606,923,0.09
2016,11361,11228,808,0.08,10420,4545,0.44,11853,66105,71284,1959,2010,1662,1792,28,2102,0.46,2213,0.49,76,0.02,1697,0.37,572,0.13,10420,798,0.08
2017,11361,11233,855,0.08,10378,4370,0.42,11393,68030,71830,1957,2011,1722,1818,28.7,1927,0.44,2176,0.5,158,0.04,1523,0.35,530,0.12,10378,894,0.09
2018,11361,11086,1060,0.11,10026,4276,0.43,10944,73029,75270,1957,2011,1783,1838,28.9,1839,0.43,2049,0.48,137,0.03,1545,0.36,546,0.13,10026,824,0.08
2019,11361,11072,1164,0.12,9908,4229,0.43,11031,77633,78591,1957,2012,1843,1866,29,1926,0.46,1892,0.45,152,0.04,1597,0.38,568,0.13,9908,743,0.07
2020,11361,11619,960,0.09,10659,4070,0.38,10764,75917,75917,1957,2013,1936,1936,31.1,1971,0.48,1668,0.41,196,0.05,1462,0.36,589,0.14,10659,887,0.08
2012,11362,7262,264,0.04,6998,1333,0.19,3577,50574,57010,1968,2004,1552,1750,39.4,634,0.48,551,0.41,129,0.1,503,0.38,150,0.11,6998,448,0.06
2013,11362,7287,252,0.04,7035,1504,0.21,3940,62750,69714,1968,2006,1579,1754,35.8,834,0.55,645,0.43,100,0.07,602,0.4,157,0.1,7035,558,0.08
2014,11362,7273,300,0.04,6973,1460,0.21,3818,63646,69581,1968,2008,1660,1815,34.2,663,0.45,661,0.45,54,0.04,561,0.38,165,0.11,6973,542,0.08
2015,11362,7269,201,0.03,7068,1455,0.21,3787,65507,71530,1968,2010,1757,1919,32.6,625,0.43,649,0.45,49,0.03,622,0.43,118,0.08,7068,575,0.08
2016,11362,7311,276,0.04,7035,1354,0.19,3286,56553,60984,1966,2010,1716,1850,33.5,529,0.39,689,0.51,45,0.03,505,0.37,97,0.07,7035,530,0.08
2017,11362,7430,267,0.04,7163,1423,0.2,3572,54440,57481,1964,2011,1682,1776,32,552,0.39,674,0.47,0,0,617,0.43,116,0.08,7163,581,0.08
2018,11362,7484,333,0.05,7151,1447,0.2,3698,59124,60938,1968,2012,1808,1863,31.2,499,0.34,606,0.42,0,0,697,0.48,128,0.09,7151,430,0.06
2019,11362,7491,503,0.07,6988,1438,0.21,3758,71050,71926,1962,2013,1944,1968,27.9,718,0.5,590,0.41,101,0.07,650,0.45,109,0.08,6988,413,0.06
2020,11362,7601,448,0.06,7153,1522,0.21,3953,60944,60944,1959,2015,1963,1963,33,810,0.53,600,0.39,163,0.11,539,0.35,198,0.13,7153,348,0.05
2012,11363,2810,131,0.05,2679,775,0.29,2058,80219,90427,1965,2004,1657,1868,24.8,494,0.64,383,0.49,15,0.02,287,0.37,96,0.12,2679,112,0.04
2013,11363,2830,212,0.08,2618,830,0.32,2327,76583,85082,1962,2004,1622,1802,24.5,471,0.57,416,0.5,14,0.02,259,0.31,152,0.18,2618,112,0.04
2014,11363,2822,233,0.09,2589,790,0.31,2410,77619,84857,1960,2006,1665,1820,26.4,461,0.58,367,0.46,10,0.01,243,0.31,180,0.23,2589,132,0.05
2015,11363,2847,198,0.07,2649,818,0.31,2475,64500,70431,1960,2007,1748,1909,29.6,502,0.61,407,0.5,10,0.01,254,0.31,157,0.19,2649,148,0.06
2016,11363,2803,154,0.06,2649,730,0.28,2248,58750,63353,1957,2010,1777,1916,31.5,457,0.63,326,0.45,12,0.02,215,0.29,189,0.26,2649,186,0.07
2017,11363,2757,137,0.05,2620,666,0.25,2070,61048,64458,1960,2010,1951,2060,33.8,418,0.63,277,0.42,31,0.05,177,0.27,181,0.27,2620,187,0.07
2018,11363,2737,76,0.03,2661,653,0.25,1735,61992,63894,1966,2011,2080,2144,33.8,468,0.72,273,0.42,32,0.05,218,0.33,130,0.2,2661,181,0.07
2019,11363,2858,54,0.02,2804,676,0.24,1656,66379,67198,1965,2011,2188,2215,33.9,496,0.73,292,0.43,35,0.05,244,0.36,105,0.16,2804,193,0.07
2020,11363,2802,23,0.01,2779,666,0.24,1507,80783,80783,1965,2011,2055,2055,29.3,390,0.59,273,0.41,32,0.05,198,0.3,163,0.24,2779,260,0.09
2012,11364,14064,569,0.04,13495,3362,0.25,8735,54123,61010,1955,2003,1455,1640,34.1,1248,0.37,1418,0.42,85,0.03,1404,0.42,343,0.1,13495,1246,0.09
2013,11364,13934,591,0.04,13343,3420,0.26,8542,53853,59830,1956,2004,1500,1666,34.4,1251,0.37,1480,0.43,117,0.03,1379,0.4,350,0.1,13343,1283,0.1
2014,11364,13728,496,0.04,13232,3411,0.26,8804,55508,60684,1956,2005,1534,1677,36.5,1218,0.36,1530,0.45,123,0.04,1311,0.38,370,0.11,13232,1264,0.1
2015,11364,13842,637,0.05,13205,3606,0.27,9077,54700,59730,1956,2006,1582,1727,38.6,1226,0.34,1540,0.43,229,0.06,1395,0.39,436,0.12,13205,1182,0.09
2016,11364,13869,643,0.05,13226,3625,0.27,9005,57444,61945,1957,2007,1623,1750,35.1,1242,0.34,1638,0.45,274,0.08,1206,0.33,492,0.14,13226,1127,0.09
2017,11364,14071,686,0.05,13385,3513,0.26,9435,58347,61606,1956,2009,1685,1779,34.2,1201,0.34,1555,0.44,263,0.07,1127,0.32,532,0.15,13385,1190,0.09
2018,11364,14231,677,0.05,13554,3561,0.26,10036,64759,66746,1956,2011,1753,1807,33.9,1124,0.32,1452,0.41,291,0.08,1270,0.36,545,0.15,13554,1120,0.08
2019,11364,14245,775,0.06,13470,3720,0.28,10263,70389,71257,1956,2012,1801,1823,31.6,1118,0.3,1327,0.36,400,0.11,1298,0.35,737,0.2,13470,1083,0.08
2020,11364,13960,819,0.06,13141,3882,0.3,11265,77608,77608,1957,2012,1869,1869,30.2,1356,0.35,1269,0.33,323,0.08,1314,0.34,917,0.24,13141,970,0.07
2012,11365,16028,787,0.05,15241,8493,0.56,21569,43307,48818,1956,2003,1339,1509,34.5,3160,0.37,2666,0.31,1161,0.14,2717,0.32,1898,0.22,15241,1974,0.13
2013,11365,16024,639,0.04,15385,8174,0.53,20628,39291,43652,1956,2003,1347,1496,35.7,2934,0.36,2863,0.35,1048,0.13,2459,0.3,1699,0.21,15385,2274,0.15
2014,11365,16051,669,0.04,15382,7918,0.51,20707,40754,44554,1956,2004,1373,1501,35.4,2531,0.32,2767,0.35,993,0.13,2311,0.29,1675,0.21,15382,2178,0.14
2015,11365,16374,610,0.04,15764,8320,0.53,22109,39932,43604,1957,2005,1390,1518,36.1,2617,0.31,2762,0.33,1127,0.14,2519,0.3,1732,0.21,15764,2168,0.14
2016,11365,16180,744,0.05,15436,7769,0.5,20951,40203,43353,1956,2007,1440,1553,36.3,2273,0.29,2758,0.36,973,0.13,2214,0.28,1549,0.2,15436,2095,0.14
2017,11365,16321,664,0.04,15657,8042,0.51,21661,43365,45787,1955,2008,1459,1540,35.8,2661,0.33,2954,0.37,1225,0.15,2101,0.26,1506,0.19,15657,1999,0.13
2018,11365,16238,667,0.04,15571,8198,0.53,22160,50806,52365,1954,2010,1557,1605,35.2,2677,0.33,2829,0.35,1281,0.16,2434,0.3,1557,0.19,15571,1848,0.12
2019,11365,16362,657,0.04,15705,8250,0.53,21627,53886,54551,1955,2011,1581,1601,33.4,3076,0.37,2824,0.34,1272,0.15,2403,0.29,1592,0.19,15705,1926,0.12
2020,11365,16274,572,0.04,15702,8525,0.54,21481,52474,52474,1955,2011,1576,1576,32.3,2990,0.35,2473,0.29,1319,0.15,2525,0.3,2054,0.24,15702,1843,0.12
2012,11366,4764,392,0.09,4372,1214,0.28,3477,45417,51197,1953,2004,1414,1594,29.4,580,0.48,447,0.37,127,0.1,421,0.35,204,0.17,4372,484,0.11
2013,11366,4721,375,0.09,4346,1292,0.3,4041,50000,55549,1955,2006,1494,1660,29.2,606,0.47,522,0.4,142,0.11,462,0.36,116,0.09,4346,643,0.15
2014,11366,4689,379,0.09,4310,1226,0.28,3780,50833,55573,1956,2007,1547,1691,29.2,523,0.43,456,0.37,101,0.08,482,0.39,145,0.12,4310,573,0.13
2015,11366,4694,503,0.12,4191,1187,0.28,3894,55972,61119,1955,2010,1574,1719,28.7,483,0.41,425,0.36,105,0.09,455,0.38,165,0.14,4191,535,0.13
2016,11366,4786,400,0.09,4386,1371,0.31,4610,57679,62198,1956,2011,1631,1759,29.4,627,0.46,490,0.36,131,0.1,532,0.39,222,0.16,4386,535,0.12
2017,11366,4861,405,0.09,4456,1334,0.3,4372,51649,54534,1956,2012,1624,1715,34.9,584,0.44,474,0.36,122,0.09,550,0.41,215,0.16,4456,564,0.13
2018,11366,5028,395,0.09,4633,1364,0.29,4236,58426,60219,1954,2012,1746,1800,33.6,588,0.43,486,0.36,169,0.12,500,0.37,253,0.19,4633,514,0.11
2019,11366,4968,434,0.1,4534,1524,0.34,4731,61081,61834,1955,2013,1770,1792,32.5,694,0.46,481,0.32,195,0.13,558,0.37,330,0.22,4534,480,0.11
2020,11366,4873,359,0.08,4514,1342,0.3,3769,57250,57250,1954,2015,1738,1738,34.4,670,0.5,324,0.24,198,0.15,611,0.46,247,0.18,4514,417,0.09
2012,11367,15534,1181,0.08,14353,7706,0.54,20402,42276,47656,1955,2002,1172,1321,29.2,2509,0.33,3403,0.44,1559,0.2,1153,0.15,1573,0.2,14353,2421,0.17
2013,11367,15624,1119,0.08,14505,7745,0.53,20805,43533,48364,1955,2003,1179,1310,29.2,2608,0.34,3292,0.43,1446,0.19,1106,0.14,1727,0.22,14505,2277,0.16
2014,11367,15699,1114,0.08,14585,7887,0.54,21263,43769,47850,1956,2004,1220,1334,31.8,2523,0.32,3390,0.43,1386,0.18,1179,0.15,1795,0.23,14585,2239,0.15
2015,11367,15572,928,0.06,14644,7709,0.53,21689,46437,50707,1955,2005,1238,1352,30.8,2630,0.34,3381,0.44,1451,0.19,1226,0.16,1511,0.2,14644,1953,0.13
2016,11367,15808,1047,0.07,14761,7813,0.53,21748,46579,50228,1955,2007,1314,1417,33.2,2675,0.34,3281,0.42,1350,0.17,1332,0.17,1699,0.22,14761,2026,0.14
2017,11367,15817,1147,0.08,14670,7775,0.53,22328,46857,49474,1955,2007,1345,1420,33.1,2580,0.33,3277,0.42,1059,0.14,1346,0.17,1968,0.25,14670,2028,0.14
2018,11367,15802,1222,0.08,14580,7778,0.53,21776,48968,50470,1955,2008,1366,1408,33.1,2410,0.31,3009,0.39,1152,0.15,1374,0.18,2126,0.27,14580,2136,0.15
2019,11367,15720,1372,0.1,14348,7674,0.53,21540,50923,51551,1954,2010,1403,1420,31.8,2591,0.34,2790,0.36,1082,0.14,1512,0.2,2099,0.27,14348,2223,0.15
2020,11367,15223,1293,0.09,13930,7516,0.54,21075,44449,44449,1955,2011,1390,1390,31.3,2336,0.31,2516,0.33,997,0.13,1726,0.23,2113,0.28,13930,2160,0.16
2012,11368,30011,2157,0.08,27854,22137,0.79,82509,42942,48407,1960,2004,1335,1505,35.5,2501,0.11,1567,0.07,4001,0.18,2024,0.09,14964,0.68,27854,6155,0.22
2013,11368,30392,2074,0.07,28318,22639,0.8,86083,43386,48201,1959,2005,1392,1546,36.6,2595,0.11,1678,0.07,3930,0.17,1860,0.08,15596,0.69,28318,6777,0.24
2014,11368,31120,2089,0.07,29031,23022,0.79,88081,42663,46641,1959,2006,1410,1541,37.6,2391,0.1,1426,0.06,4436,0.19,1718,0.07,15942,0.69,29031,6845,0.24
2015,11368,31108,2013,0.07,29095,22913,0.79,89521,41951,45808,1959,2007,1423,1554,38,2255,0.1,1293,0.06,4436,0.19,1674,0.07,16095,0.7,29095,6544,0.22
2016,11368,31003,2230,0.08,28773,22447,0.78,88791,42542,45875,1960,2007,1464,1579,37.7,2455,0.11,1205,0.05,3887,0.17,1698,0.08,16201,0.72,28773,6058,0.21
2017,11368,30363,2088,0.07,28275,22029,0.78,90110,44552,47041,1961,2009,1526,1611,37.8,2635,0.12,1122,0.05,3908,0.18,1906,0.09,15777,0.72,28275,5724,0.2
2018,11368,30734,2232,0.08,28502,22327,0.78,89163,47245,48695,1962,2010,1572,1620,36.7,2481,0.11,862,0.04,3483,0.16,2032,0.09,16558,0.74,28502,5537,0.19
2019,11368,30735,2102,0.07,28633,22715,0.79,89751,50470,51093,1963,2010,1622,1642,35.8,2547,0.11,1044,0.05,3224,0.14,2120,0.09,16841,0.74,28633,5518,0.19
2020,11368,30189,2026,0.07,28163,22409,0.8,87127,54350,54350,1962,2011,1684,1684,34.2,3062,0.14,1164,0.05,3333,0.15,2198,0.1,16598,0.74,28163,4984,0.18
2012,11369,12195,965,0.09,11230,5606,0.5,19163,41554,46842,1952,2005,1325,1494,35.7,792,0.14,349,0.06,1029,0.18,323,0.06,3915,0.7,11230,1717,0.15
2013,11369,12369,973,0.09,11396,5947,0.52,20251,40399,44883,1953,2006,1342,1491,36.5,692,0.12,401,0.07,1002,0.17,398,0.07,4134,0.7,11396,1800,0.16
2014,11369,12603,1000,0.09,11603,6101,0.53,19870,39518,43203,1953,2007,1355,1481,38.3,705,0.12,453,0.07,1154,0.19,376,0.06,4136,0.68,11603,1790,0.15
2015,11369,12693,1211,0.11,11482,6033,0.53,18975,39294,42907,1950,2008,1336,1459,39.3,736,0.12,512,0.08,1064,0.18,348,0.06,4097,0.68,11482,1821,0.16
2016,11369,12647,1622,0.15,11025,5603,0.51,18033,37011,39911,1949,2010,1391,1500,42.1,717,0.13,362,0.06,968,0.17,368,0.07,3917,0.7,11025,1743,0.16
2017,11369,12813,2093,0.2,10720,5181,0.48,17024,37063,39133,1946,2011,1456,1537,43.6,721,0.14,308,0.06,885,0.17,370,0.07,3642,0.7,10720,1649,0.15
2018,11369,12931,2637,0.26,10294,4685,0.46,14666,35138,36216,1943,2011,1503,1549,44.8,609,0.13,239,0.05,839,0.18,304,0.06,3302,0.7,10294,1565,0.15
2019,11369,13026,3371,0.35,9655,4272,0.44,13239,37399,37860,1942,2011,1583,1603,44.8,558,0.13,207,0.05,723,0.17,288,0.07,3064,0.72,9655,1390,0.14
2020,11369,13891,4325,0.45,9566,3882,0.41,12780,43912,43912,1948,2011,1700,1700,42.4,585,0.15,145,0.04,660,0.17,352,0.09,2748,0.71,9566,1125,0.12
2012,11370,9889,1143,0.13,8746,4394,0.5,13727,44968,50690,1956,2004,1373,1548,34.4,1047,0.24,1631,0.37,8,0,810,0.18,1874,0.43,8746,1467,0.17
2013,11370,9865,1169,0.13,8696,4491,0.52,14330,44278,49192,1956,2005,1484,1649,36.1,1045,0.23,1526,0.34,8,0,853,0.19,1989,0.44,8696,1364,0.16
2014,11370,9805,1155,0.13,8650,4704,0.54,14493,47313,51725,1955,2006,1513,1654,34.4,1222,0.26,1486,0.32,28,0.01,772,0.16,2245,0.48,8650,1460,0.17
2015,11370,10098,1289,0.15,8809,4811,0.55,14523,45391,49565,1955,2008,1539,1681,35.2,1166,0.24,1604,0.33,102,0.02,728,0.15,2316,0.48,8809,1567,0.18
2016,11370,10151,1481,0.17,8670,4591,0.53,13201,45175,48714,1955,2009,1545,1666,37.4,1080,0.24,1445,0.31,95,0.02,728,0.16,2276,0.5,8670,1460,0.17
2017,11370,10192,1827,0.22,8365,4317,0.52,12352,48211,50904,1955,2010,1581,1669,37.3,1037,0.24,1345,0.31,107,0.02,649,0.15,2198,0.51,8365,1146,0.14
2018,11370,10406,2413,0.3,7993,3911,0.49,11283,50631,52184,1955,2010,1628,1678,37,1003,0.26,1356,0.35,110,0.03,620,0.16,1809,0.46,7993,1139,0.14
2019,11370,10809,2959,0.38,7850,3776,0.48,10812,50824,51451,1957,2010,1691,1712,41,915,0.24,1264,0.33,146,0.04,653,0.17,1726,0.46,7850,973,0.12
2020,11370,10989,3439,0.46,7550,3564,0.47,9982,60087,60087,1957,2011,1736,1736,35.9,953,0.27,1222,0.34,82,0.02,662,0.19,1520,0.43,7550,702,0.09
2012,11371,0,0,NA,0,0,NA,0,60087,60087,NA,2011,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,11371,0,0,NA,0,0,NA,0,60087,60087,NA,2011,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,11371,0,0,NA,0,0,NA,0,60087,60087,NA,2011,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,11371,0,0,NA,0,0,NA,0,60087,60087,NA,2011,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,11371,0,0,NA,0,0,NA,0,60087,60087,NA,2011,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,11371,0,0,NA,0,0,NA,0,60087,60087,NA,2011,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,11371,0,0,NA,0,0,NA,0,60087,60087,NA,2011,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,11371,0,0,NA,0,0,NA,0,60087,60087,NA,2011,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,11371,0,0,NA,0,0,NA,0,60087,60087,NA,2011,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,11372,25550,1499,0.06,24051,16380,0.68,44358,40012,45104,1943,2002,1214,1368,36.3,3858,0.24,3175,0.19,370,0.02,2696,0.16,10088,0.62,24051,4327,0.18
2013,11372,25631,1411,0.06,24220,16524,0.68,45498,41126,45690,1944,2003,1246,1384,36.1,4214,0.26,3088,0.19,389,0.02,2663,0.16,10389,0.63,24220,4380,0.18
2014,11372,25899,1553,0.06,24346,16914,0.69,45553,39755,43462,1945,2004,1298,1419,37.4,4394,0.26,3157,0.19,460,0.03,2803,0.17,10522,0.62,24346,4327,0.18
2015,11372,26239,1446,0.06,24793,17415,0.7,47652,43887,47922,1946,2004,1316,1437,36.2,4499,0.26,3289,0.19,496,0.03,2741,0.16,10841,0.62,24793,4078,0.16
2016,11372,26202,1876,0.08,24326,16888,0.69,47367,46138,49753,1947,2005,1347,1453,35.5,4191,0.25,3308,0.2,472,0.03,2598,0.15,10531,0.62,24326,3249,0.13
2017,11372,26224,2173,0.09,24051,16698,0.69,47023,47496,50149,1946,2006,1390,1468,35,4261,0.26,3318,0.2,477,0.03,2602,0.16,10314,0.62,24051,2899,0.12
2018,11372,26057,2243,0.09,23814,16271,0.68,44326,48473,49960,1947,2008,1441,1485,35.4,3871,0.24,3117,0.19,415,0.03,2493,0.15,10181,0.63,23814,2782,0.12
2019,11372,26159,2373,0.1,23786,15942,0.67,44317,51742,52380,1946,2009,1516,1535,35.4,3713,0.23,2984,0.19,348,0.02,2524,0.16,9953,0.62,23786,2920,0.12
2020,11372,25717,1875,0.08,23842,15908,0.67,44191,53134,53134,1946,2010,1539,1539,35.7,4037,0.25,3031,0.19,293,0.02,2394,0.15,9675,0.61,23842,3092,0.13
2012,11373,33691,2030,0.06,31661,23060,0.73,70425,42098,47455,1952,2004,1306,1472,36.7,5623,0.24,2042,0.09,705,0.03,9445,0.41,10743,0.47,31661,6082,0.19
2013,11373,33832,2181,0.07,31651,22785,0.72,69769,43487,48313,1950,2004,1342,1491,36.6,5601,0.25,1996,0.09,823,0.04,9217,0.4,10500,0.46,31651,6033,0.19
2014,11373,34119,2331,0.07,31788,23067,0.73,71266,43823,47909,1950,2005,1372,1500,37,6190,0.27,1970,0.09,739,0.03,9618,0.42,10367,0.45,31788,5888,0.19
2015,11373,34013,2662,0.08,31351,22902,0.73,70114,43140,47107,1952,2007,1373,1499,37.7,6147,0.27,1919,0.08,752,0.03,9573,0.42,10199,0.45,31351,6399,0.2
2016,11373,34198,3209,0.1,30989,22534,0.73,68143,40664,43850,1952,2008,1386,1495,39.4,5888,0.26,1888,0.08,815,0.04,9447,0.42,9987,0.44,30989,6351,0.2
2017,11373,33903,3687,0.12,30216,21004,0.7,65082,43783,46229,1954,2009,1426,1506,38.2,5560,0.26,1862,0.09,725,0.03,8577,0.41,9574,0.46,30216,5619,0.19
2018,11373,33886,3601,0.12,30285,21371,0.71,65172,46289,47709,1955,2010,1485,1531,38.3,5719,0.27,1782,0.08,576,0.03,8580,0.4,10250,0.48,30285,5068,0.17
2019,11373,33837,3551,0.12,30286,21220,0.7,65112,51449,52084,1955,2011,1544,1563,36.8,5714,0.27,1751,0.08,561,0.03,8414,0.4,10411,0.49,30286,4584,0.15
2020,11373,34328,3073,0.1,31255,21631,0.69,66711,54231,54231,1956,2012,1616,1616,36.3,6560,0.3,1670,0.08,465,0.02,8935,0.41,10722,0.5,31255,4069,0.13
2012,11374,20268,1013,0.05,19255,11801,0.61,24652,44857,50565,1954,2002,1298,1463,35,5782,0.49,7188,0.61,413,0.03,1888,0.16,2141,0.18,19255,2468,0.13
2013,11374,20141,1085,0.06,19056,12154,0.64,25831,44902,49885,1954,2002,1303,1448,35.1,5896,0.49,7153,0.59,461,0.04,1918,0.16,2469,0.2,19056,2420,0.13
2014,11374,20582,1167,0.06,19415,12771,0.66,26499,44375,48513,1954,2003,1333,1457,35.9,6003,0.47,7287,0.57,467,0.04,2209,0.17,2627,0.21,19415,2729,0.14
2015,11374,20761,1278,0.07,19483,12667,0.65,27659,43314,47297,1954,2005,1349,1473,35.5,6010,0.47,7120,0.56,546,0.04,2482,0.2,2346,0.19,19483,3052,0.16
2016,11374,20663,1392,0.07,19271,12350,0.64,26918,46010,49615,1953,2005,1389,1498,35,5889,0.48,6719,0.54,520,0.04,2486,0.2,2466,0.2,19271,3263,0.17
2017,11374,20911,1635,0.08,19276,12178,0.63,26595,48320,51019,1953,2007,1453,1534,33.8,6113,0.5,6437,0.53,585,0.05,2540,0.21,2462,0.2,19276,2929,0.15
2018,11374,20974,1558,0.08,19416,11892,0.61,25398,55721,57431,1954,2009,1591,1640,32.8,6114,0.51,6118,0.51,663,0.06,2579,0.22,2183,0.18,19416,2894,0.15
2019,11374,21041,1492,0.08,19549,11763,0.6,25716,61203,61958,1955,2010,1664,1685,31.6,6106,0.52,6138,0.52,606,0.05,2422,0.21,2205,0.19,19549,2906,0.15
2020,11374,20535,1491,0.08,19044,11156,0.59,24478,69631,69631,1956,2011,1730,1730,31.2,6302,0.56,5245,0.47,640,0.06,2325,0.21,2419,0.22,19044,2435,0.13
2012,11375,34524,2481,0.08,32043,15958,0.5,32480,57976,65354,1951,2002,1444,1628,29.4,8567,0.54,10306,0.65,553,0.03,2595,0.16,2120,0.13,32043,2875,0.09
2013,11375,34660,2581,0.08,32079,16026,0.5,32632,58128,64579,1951,2003,1499,1665,30.4,8699,0.54,10283,0.64,575,0.04,2634,0.16,2174,0.14,32079,2934,0.09
2014,11375,34324,2593,0.08,31731,15849,0.5,32949,59748,65319,1951,2005,1553,1698,30.2,8817,0.56,9821,0.62,535,0.03,2794,0.18,2408,0.15,31731,2850,0.09
2015,11375,34761,2489,0.08,32272,16200,0.5,33031,61562,67223,1952,2007,1566,1710,29,9322,0.58,9705,0.6,634,0.04,2925,0.18,2555,0.16,32272,2897,0.09
2016,11375,34904,2550,0.08,32354,16235,0.5,33716,62116,66983,1952,2009,1600,1725,30.1,9629,0.59,9571,0.59,792,0.05,2797,0.17,2743,0.17,32354,3368,0.1
2017,11375,35211,2719,0.08,32492,16220,0.5,35060,65190,68831,1952,2010,1676,1770,30.3,9774,0.6,9261,0.57,641,0.04,3040,0.19,3010,0.19,32492,3254,0.1
2018,11375,35281,2424,0.07,32857,16160,0.49,35010,70541,72705,1953,2011,1731,1784,29.4,9925,0.61,8920,0.55,686,0.04,2980,0.18,3217,0.2,32857,3183,0.1
2019,11375,35376,2827,0.09,32549,15970,0.49,34488,71456,72337,1953,2011,1763,1785,29.3,9979,0.62,9023,0.56,695,0.04,2992,0.19,2873,0.18,32549,3143,0.1
2020,11375,34783,2274,0.07,32509,15576,0.48,33907,76053,76053,1953,2012,1807,1807,28.6,9910,0.64,8953,0.57,778,0.05,2800,0.18,2819,0.18,32509,2912,0.09
2012,11377,34010,1941,0.06,32069,22951,0.72,61068,47339,53363,1947,2003,1272,1434,31.5,6963,0.3,5716,0.25,1076,0.05,7038,0.31,9053,0.39,32069,4104,0.13
2013,11377,33568,2036,0.06,31532,22855,0.72,61346,46269,51404,1947,2004,1302,1446,32.2,6864,0.3,5668,0.25,976,0.04,7067,0.31,9027,0.39,31532,4496,0.14
2014,11377,33623,2150,0.07,31473,22922,0.73,63698,45699,49960,1948,2005,1363,1490,34.4,6493,0.28,5583,0.24,913,0.04,7030,0.31,9213,0.4,31473,4585,0.15
2015,11377,33840,2385,0.08,31455,22354,0.71,63998,45698,49900,1948,2006,1380,1507,33.9,6399,0.29,5223,0.23,894,0.04,6858,0.31,9150,0.41,31455,4628,0.15
2016,11377,33874,2271,0.07,31603,22110,0.7,63925,47161,50856,1948,2008,1412,1523,33.9,6333,0.29,5100,0.23,846,0.04,6871,0.31,9008,0.41,31603,4324,0.14
2017,11377,33979,2515,0.08,31464,22068,0.7,63606,50761,53596,1950,2009,1457,1538,33.6,6031,0.27,5152,0.23,822,0.04,6859,0.31,8866,0.4,31464,3949,0.13
2018,11377,33753,2353,0.07,31400,21712,0.69,60896,53502,55144,1950,2010,1490,1536,33.3,5862,0.27,4939,0.23,909,0.04,6694,0.31,8851,0.41,31400,3475,0.11
2019,11377,33648,2317,0.07,31331,21359,0.68,58417,55425,56109,1950,2011,1511,1530,32,6020,0.28,4587,0.21,925,0.04,6601,0.31,8811,0.41,31331,3438,0.11
