year,GEOID,tot_units,tot_vac_units,pct_vac,tot_occ_units,renter_occ_units,pct_rent,tot_pop_rou,med_hh_inc_rou,med_hh_inc_rou_2020_adj,med_yr_blt_rou,med_yr_moved_in_rou,med_gross_rent,med_gross_rent_2020_adj,med_rent_burden,tot_college_degree_rou,pct_college_deg_rou,tot_wh_rou,pct_wh_rou,tot_bl_rou,pct_bl_rou,tot_asn_rou,pct_asn_rou,tot_ltx_rou,pct_ltx_rou,tot_hh,tot_hh_pov,pct_pov
2020,10009,31277,1921,0.07,29356,27187,0.93,52442,66597,66597,1946,2011,1706,1706,27,16861,0.62,15369,0.57,2431,0.09,3725,0.14,5304,0.2,29356,6801,0.23
2012,10010,18513,2695,0.17,15818,11745,0.74,20420,88103,99315,1958,2004,2001,2256,25.3,8719,0.74,8315,0.71,591,0.05,1410,0.12,1289,0.11,15818,1954,0.12
2013,10010,18318,2314,0.14,16004,11998,0.75,21580,90106,100106,1959,2005,2001,2223,25.3,8846,0.74,8404,0.7,658,0.05,1644,0.14,1156,0.1,16004,2045,0.13
2014,10010,18265,2246,0.14,16019,12196,0.76,21542,96324,105306,1959,2007,2001,2188,25.4,9342,0.77,8415,0.69,739,0.06,1796,0.15,1151,0.09,16019,1875,0.12
2015,10010,18044,1994,0.12,16050,11964,0.75,21489,94808,103526,1960,2010,2295,2506,25.7,9365,0.78,8317,0.7,651,0.05,1779,0.15,969,0.08,16050,1919,0.12
2016,10010,17923,1853,0.12,16070,11656,0.73,21892,105605,113879,1960,2011,2442,2633,25.6,9304,0.8,8040,0.69,522,0.04,1648,0.14,1249,0.11,16070,1575,0.1
2017,10010,17847,1875,0.12,15972,11370,0.71,21652,113636,119983,1961,2011,2513,2653,25.9,9322,0.82,7864,0.69,591,0.05,1682,0.15,1073,0.09,15972,1503,0.09
2018,10010,18535,2145,0.13,16390,11739,0.72,21680,116324,119893,1960,2012,2590,2669,25.9,9588,0.82,7791,0.66,550,0.05,1986,0.17,1202,0.1,16390,1509,0.09
2019,10010,18875,2060,0.12,16815,11630,0.69,22801,128617,130204,1959,2013,2509,2540,23.7,9422,0.81,7488,0.64,651,0.06,1854,0.16,1357,0.12,16815,1502,0.09
2020,10010,19155,2656,0.16,16499,11500,0.7,22189,135206,135206,1955,2014,2502,2502,24.3,9018,0.78,7343,0.64,874,0.08,1854,0.16,1199,0.1,16499,1586,0.1
2012,10011,33453,3785,0.13,29668,19607,0.66,31385,85933,96869,1939,2003,1793,2021,24.7,14664,0.75,14332,0.73,839,0.04,1691,0.09,2187,0.11,29668,2299,0.08
2013,10011,33616,4159,0.14,29457,19230,0.65,31249,91321,101456,1939,2004,1911,2123,24.6,14849,0.77,14321,0.74,768,0.04,1671,0.09,1948,0.1,29457,2235,0.08
2014,10011,34027,4106,0.14,29921,19827,0.66,32434,92310,100918,1939,2005,1933,2113,24.8,14955,0.75,14841,0.75,722,0.04,1969,0.1,1785,0.09,29921,2282,0.08
2015,10011,34012,4250,0.14,29762,19468,0.65,31396,96573,105453,1939,2007,2000,2184,24.7,14757,0.76,14612,0.75,745,0.04,2015,0.1,1895,0.1,29762,2410,0.08
2016,10011,33610,4872,0.17,28738,18521,0.64,29545,97344,104971,1939,2009,2029,2188,24.4,13676,0.74,13773,0.74,870,0.05,1656,0.09,2056,0.11,28738,2621,0.09
2017,10011,33543,4790,0.17,28753,18247,0.63,29919,104808,110662,1939,2010,2125,2244,24,13621,0.75,13504,0.74,917,0.05,1556,0.09,2101,0.12,28753,2699,0.09
2018,10011,33707,4579,0.16,29128,18181,0.62,29153,107005,110288,0,2011,2115,2180,23.7,13529,0.74,13605,0.75,919,0.05,1262,0.07,2141,0.12,29128,2879,0.1
2019,10011,33984,4895,0.17,29089,17882,0.61,28037,122776,124291,0,2012,2226,2253,23.1,13902,0.78,13349,0.75,757,0.04,1254,0.07,2256,0.13,29089,2834,0.1
2020,10011,34105,5330,0.19,28775,17680,0.61,28257,120554,120554,0,2014,2281,2281,23.4,14314,0.81,13087,0.74,452,0.03,1330,0.08,2501,0.14,28775,2690,0.09
2012,10012,14783,1936,0.15,12847,10482,0.82,18682,73850,83248,1939,2003,1751,1974,26.6,8063,0.77,8033,0.77,295,0.03,1281,0.12,457,0.04,12847,1334,0.1
2013,10012,14790,1662,0.13,13128,10832,0.83,20025,81807,90886,1939,2004,1843,2048,25.1,8460,0.78,8347,0.77,323,0.03,1273,0.12,500,0.05,13128,1279,0.1
2014,10012,14518,1644,0.13,12874,10712,0.83,19048,90537,98979,1939,2007,1919,2098,24.7,8516,0.79,8043,0.75,394,0.04,1197,0.11,635,0.06,12874,1236,0.1
2015,10012,14340,1870,0.15,12470,10397,0.83,18127,93306,101886,1939,2009,2027,2213,25.5,8285,0.8,7643,0.74,412,0.04,1281,0.12,632,0.06,12470,1225,0.1
2016,10012,14159,1919,0.16,12240,10255,0.84,18408,97153,104765,1939,2010,2128,2295,25.4,8047,0.78,7437,0.73,364,0.04,1421,0.14,625,0.06,12240,1276,0.1
2017,10012,14180,1831,0.15,12349,10148,0.82,18012,96762,102167,1939,2011,2203,2326,25.9,7921,0.78,7165,0.71,347,0.03,1469,0.14,751,0.07,12349,1321,0.11
2018,10012,14052,2011,0.17,12041,9870,0.82,17155,103516,106692,0,2012,2280,2350,25.7,7638,0.77,7037,0.71,288,0.03,1341,0.14,773,0.08,12041,1258,0.1
2019,10012,14211,2030,0.17,12181,9929,0.82,17280,96592,97784,0,2012,2267,2295,24.7,7534,0.76,7123,0.72,269,0.03,1477,0.15,785,0.08,12181,1258,0.1
2020,10012,14779,2205,0.18,12574,10324,0.82,16934,102488,102488,0,2014,2293,2293,24.5,8193,0.79,7332,0.71,283,0.03,1433,0.14,934,0.09,12574,1447,0.12
2012,10013,13165,2475,0.23,10690,7995,0.75,17336,51315,57845,1939,2002,1236,1393,29.2,4049,0.51,4026,0.5,285,0.04,3391,0.42,277,0.03,10690,1814,0.17
2013,10013,13260,2212,0.2,11048,7893,0.71,15994,59097,65656,1939,2002,1388,1542,28.5,4466,0.57,3988,0.51,288,0.04,3183,0.4,293,0.04,11048,1768,0.16
2014,10013,13582,2081,0.18,11501,8194,0.71,16614,59726,65295,1939,2003,1462,1598,28.3,4738,0.58,4057,0.5,378,0.05,3218,0.39,432,0.05,11501,1676,0.15
2015,10013,13750,2192,0.19,11558,8231,0.71,17389,62694,68459,1939,2005,1512,1651,27.4,4702,0.57,4033,0.49,238,0.03,3343,0.41,481,0.06,11558,1563,0.14
2016,10013,13913,1979,0.17,11934,8630,0.72,18106,76741,82753,1939,2007,1663,1793,25.1,5096,0.59,4312,0.5,238,0.03,3485,0.4,417,0.05,11934,1406,0.12
2017,10013,14178,1971,0.16,12207,8867,0.73,19208,79180,83603,1939,2008,1615,1705,24.7,5175,0.58,4266,0.48,232,0.03,3760,0.42,375,0.04,12207,1500,0.12
2018,10013,14144,2158,0.18,11986,8848,0.74,19000,78436,80843,0,2010,1571,1619,24.9,5231,0.59,4368,0.49,207,0.02,3674,0.42,406,0.05,11986,1479,0.12
2019,10013,14347,2321,0.19,12026,8828,0.73,18823,92295,93434,0,2011,1692,1713,23.9,5590,0.63,4635,0.53,145,0.02,3550,0.4,324,0.04,12026,1498,0.12
2020,10013,14756,2462,0.2,12294,8989,0.73,18700,108015,108015,0,2012,1946,1946,23.4,6001,0.67,5215,0.58,166,0.02,3143,0.35,336,0.04,12294,1292,0.11
2012,10014,21283,2787,0.15,18496,13318,0.72,20650,92731,104532,1939,2003,2001,2256,25,10815,0.81,11138,0.84,189,0.01,758,0.06,882,0.07,18496,1197,0.06
2013,10014,21420,3037,0.17,18383,13279,0.72,20679,95219,105787,1939,2005,2001,2223,24.3,11057,0.83,11077,0.83,175,0.01,822,0.06,896,0.07,18383,1114,0.06
2014,10014,21868,2904,0.15,18964,13440,0.71,21047,94345,103142,1939,2007,2001,2188,24.3,11038,0.82,11214,0.83,136,0.01,827,0.06,959,0.07,18964,1142,0.06
2015,10014,21862,3076,0.16,18786,12889,0.69,19907,101132,110431,1939,2010,2281,2491,24.3,10809,0.84,10645,0.83,49,0,803,0.06,951,0.07,18786,1082,0.06
2016,10014,22036,3365,0.18,18671,12830,0.69,20348,105250,113496,1939,2011,2337,2520,24.4,10939,0.85,10594,0.83,76,0.01,887,0.07,939,0.07,18671,1173,0.06
2017,10014,21756,3275,0.18,18481,12540,0.68,19861,111332,117551,1939,2011,2381,2514,24.2,10800,0.86,10508,0.84,76,0.01,806,0.06,846,0.07,18481,1147,0.06
2018,10014,21531,3302,0.18,18229,12316,0.68,18910,111754,115183,0,2012,2313,2384,25.1,10380,0.84,10152,0.82,83,0.01,668,0.05,1018,0.08,18229,1173,0.06
2019,10014,21261,3248,0.18,18013,12308,0.68,18851,118289,119748,0,2013,2480,2511,24.7,10481,0.85,10175,0.83,79,0.01,561,0.05,1078,0.09,18013,1037,0.06
2020,10014,20877,3738,0.22,17139,12211,0.71,18817,124230,124230,0,2014,2464,2464,23.3,10025,0.82,10011,0.82,237,0.02,505,0.04,1226,0.1,17139,1013,0.06
2012,10016,33931,5220,0.18,28711,20542,0.72,35710,92127,103851,1965,2005,2001,2256,27.9,16571,0.81,15090,0.73,577,0.03,2667,0.13,1814,0.09,28711,2422,0.08
2013,10016,34220,6328,0.23,27892,19781,0.71,35368,96551,107266,1965,2006,2001,2223,26.8,15588,0.79,13882,0.7,477,0.02,2927,0.15,1943,0.1,27892,2370,0.08
2014,10016,34395,6456,0.23,27939,19747,0.71,34767,95005,103864,1964,2008,2001,2188,27.6,15376,0.78,13610,0.69,502,0.03,3135,0.16,1841,0.09,27939,2836,0.1
2015,10016,34644,6254,0.22,28390,19782,0.7,34814,95135,103883,1964,2010,2327,2541,27.6,15484,0.78,13463,0.68,586,0.03,3353,0.17,1895,0.1,28390,2767,0.1
2016,10016,35028,6669,0.24,28359,20503,0.72,35874,93605,100939,1965,2011,2440,2631,27.7,15759,0.77,13808,0.67,604,0.03,3742,0.18,1920,0.09,28359,2608,0.09
2017,10016,35421,6740,0.23,28681,20658,0.72,36757,101095,106742,1965,2011,2506,2646,28,16050,0.78,13434,0.65,651,0.03,3726,0.18,2248,0.11,28681,2717,0.09
2018,10016,34638,5722,0.2,28916,20597,0.71,35383,106939,110220,1965,2012,2550,2628,28.1,16390,0.8,14111,0.69,664,0.03,3538,0.17,1735,0.08,28916,2658,0.09
2019,10016,35200,6000,0.21,29200,20627,0.71,36270,113914,115319,1965,2013,2630,2662,27,16566,0.8,13941,0.68,807,0.04,3467,0.17,2022,0.1,29200,2216,0.08
2020,10016,35125,6120,0.21,29005,21322,0.74,37234,115118,115118,1966,2015,2760,2760,27.7,16656,0.78,14081,0.66,709,0.03,3351,0.16,2770,0.13,29005,2096,0.07
